"id","game_id","system_id","media_id","developer_id","year"
2,1,1,1,,1986
3,2,1,2,,1986
4,3,1,2,,1986
5,4,1,2,,1986
6,4,2,2,,1986
7,5,1,2,,1986
8,6,1,2,1,1986
9,6,1,1,1,1986
10,7,1,2,,1986
11,7,2,2,,1986
12,8,1,2,,1986
13,8,1,1,,1986
14,9,1,2,,1986
15,10,1,2,,1986
16,11,1,2,,1986
17,11,1,1,,1986
18,12,3,2,,1986
19,13,2,2,,1986
20,14,2,2,,1986
21,15,2,2,,1986
22,16,1,2,,1986
23,16,2,2,,1986
24,16,5,2,,1986
25,17,3,2,,1986
26,18,2,2,,1986
27,19,6,3,,1986
28,21,8,3,,1986
29,20,7,3,,1986
31,23,1,2,2,1986
32,23,1,1,2,1986
33,24,1,2,,1986
34,24,1,1,,1986
35,25,1,2,,1986
36,25,1,1,,1986
37,26,1,2,,1986
38,27,1,2,,1986
39,28,1,2,,1986
40,29,1,2,,1986
41,29,1,1,,1986
42,30,1,1,,1986
3885,2019,11,2,222,1985
44,32,1,1,,1986
45,33,1,1,3,1986
46,34,1,2,,1986
47,34,9,2,,1986
48,35,1,2,4,1986
49,35,1,1,4,1986
50,36,1,1,,1986
51,37,1,2,,1986
52,38,1,2,,1986
53,39,1,2,5,1986
54,39,1,1,5,1986
55,40,1,2,,1986
56,41,1,2,6,1986
57,41,1,1,6,1986
58,42,1,2,,1986
59,43,1,2,,1986
60,43,2,2,,1986
61,47,9,2,,1986
62,47,2,2,,1986
63,47,5,2,,1986
64,48,1,2,,1986
65,49,1,2,,1986
66,44,1,2,,1985
67,45,1,2,,1986
68,46,1,2,,1986
69,44,9,2,,1986
70,44,2,2,,1985
71,50,1,2,,1986
72,50,2,2,,1986
73,51,1,1,,1986
74,51,5,2,,1986
75,51,2,2,,1986
76,51,9,2,,1986
3236,1760,1,2,179,1986
78,1764,2,2,181,1986
79,53,1,2,7,1986
80,53,2,2,7,1986
81,16,10,2,,1986
82,16,9,2,,1986
83,16,11,2,,1986
84,54,1,2,,1986
85,54,2,2,,1986
86,55,1,2,,1986
87,55,2,2,,1986
88,55,9,2,,1986
89,56,1,2,,1986
90,56,2,2,,1986
91,57,2,2,,1986
1538,760,3,2,,1986
93,59,1,2,,1986
94,60,3,2,,1986
95,61,1,2,,1986
96,61,2,2,,1986
97,61,11,2,,1986
98,62,1,2,,1986
99,63,1,2,2,1985
100,63,1,1,2,1985
101,64,2,2,,1986
102,65,1,2,,1986
103,66,1,2,,1985
104,67,1,2,,1985
105,67,2,2,,1985
106,68,1,2,,1986
107,69,1,2,,1986
108,70,1,2,,1986
109,71,1,2,8,1986
110,71,1,1,8,1986
111,72,1,2,,1986
1398,72,1,1,,1986
113,73,2,2,,1986
114,74,1,2,,1986
115,75,1,2,6,1986
116,76,1,2,6,1986
117,77,1,2,,1986
118,78,1,2,,1986
119,79,1,2,,1986
1346,665,18,3,,1986
121,81,1,2,,1986
122,82,1,2,,1986
132,91,12,3,,1985
3237,1760,3,2,179,1986
125,84,1,2,,1986
126,85,1,2,,1986
127,86,1,2,,1986
128,87,1,2,,1986
129,88,1,2,,1986
130,89,1,2,,1986
131,90,1,2,,1986
133,92,13,3,,1986
134,93,7,3,,1986
135,94,1,2,,1986
136,95,1,1,,1986
137,96,1,2,,1986
138,97,1,2,5,1986
139,97,1,1,5,1986
140,98,1,2,9,1986
141,99,2,2,10,1986
142,99,1,2,10,1986
143,100,1,1,11,1986
144,102,1,2,,1986
145,103,1,2,12,1986
146,104,1,2,13,1986
147,105,1,2,,1986
148,106,1,1,,1986
149,107,1,2,,1986
150,107,2,2,,1986
151,108,1,2,,1986
152,108,2,2,265,1986
153,108,5,2,,1986
154,108,9,2,,1986
2090,806,3,2,,1986
522,287,1,2,,1987
157,110,1,2,,1986
158,110,5,2,,1986
159,110,2,2,,1986
160,111,1,1,,1986
161,112,1,2,,1986
162,112,2,2,,1986
163,113,1,2,14,1986
164,114,1,1,,1986
165,115,1,1,,1986
166,116,2,2,,1986
167,117,1,2,,1986
168,118,1,2,15,1986
169,119,1,2,,1986
170,120,2,2,,1986
171,120,1,2,,1986
172,120,9,2,,1986
173,121,1,2,,1986
174,122,1,2,,1986
175,123,1,2,,1986
176,123,9,2,,1986
177,124,1,2,,1986
178,124,2,2,,1986
1356,124,9,2,,1986
180,125,1,2,,1986
181,126,1,2,,1986
182,126,2,2,,1986
183,126,9,2,,1986
184,127,2,2,,1986
185,128,1,2,,1986
186,128,2,2,,1986
187,129,3,2,,1986
189,130,1,2,,1986
190,22,3,2,,1986
521,286,1,1,30,1987
192,132,1,2,,1986
193,133,2,2,,1986
194,134,1,2,,1986
195,135,14,1,,1986
196,136,1,2,,1986
197,136,1,1,,1986
198,136,2,2,,1986
199,136,9,2,,1986
200,137,1,2,,1986
201,137,2,2,,1986
202,137,9,2,,1986
203,138,1,2,16,1986
204,138,1,1,16,1986
205,138,2,2,16,1986
206,138,9,2,16,1986
207,139,1,2,,1986
208,139,2,2,,1986
209,139,5,2,,1986
1995,1020,1,2,,1989
211,140,1,1,,1986
212,140,2,2,,1986
213,141,3,2,17,1986
520,286,1,2,30,1987
215,142,1,1,,1986
216,143,1,1,,1986
217,144,1,2,,1986
218,145,1,2,,1986
219,146,2,2,14,1986
220,147,1,2,,1986
519,285,1,2,,1987
222,148,3,2,,1986
223,149,2,2,,1986
224,150,1,2,18,1986
225,150,2,2,18,1986
226,150,9,2,18,1986
227,151,1,2,,1986
228,151,2,2,,1986
229,152,1,2,,1986
230,152,1,1,,1986
231,153,1,2,,1986
232,153,2,2,,1986
233,154,3,2,,1986
518,284,2,2,,1987
235,155,1,2,,1986
236,156,1,2,,1986
237,156,2,2,,1986
238,157,1,1,19,1986
239,158,1,1,4,1986
240,159,1,2,,1986
241,159,1,1,,1986
242,160,2,2,,1986
243,161,1,2,,1986
244,161,2,2,,1986
245,162,1,2,16,1986
246,162,1,1,16,1986
247,162,11,2,16,1986
248,163,1,2,20,1986
249,163,2,2,20,1986
250,164,1,2,21,1986
251,164,11,2,21,1986
252,165,1,2,,1986
253,166,1,2,,1986
254,166,2,2,,1986
255,166,11,2,,1986
256,166,5,2,,1986
257,166,9,2,,1986
258,166,3,2,,1986
260,166,1,1,,1986
261,167,1,2,,1986
262,167,1,1,,1986
263,167,2,2,,1986
264,167,9,2,,1986
265,168,1,2,,1986
266,168,2,2,,1986
267,169,3,2,15,1986
516,283,1,2,,1987
269,170,1,2,,1986
270,171,1,2,,1986
271,171,2,2,267,1986
1937,990,1,2,,1989
273,171,3,2,,1986
515,282,1,2,,1987
275,172,2,2,,1986
276,173,3,2,,1986
514,281,1,2,,1987
278,112,3,2,,1986
513,280,1,2,,1987
280,174,3,2,,1986
512,279,1,2,,1987
282,68,3,2,,1986
284,175,2,2,,1986
285,176,1,2,,1986
286,177,1,1,22,1986
287,178,1,1,23,1986
288,179,1,2,,1986
289,179,2,2,,1986
290,180,2,2,,1987
291,181,2,2,20,1987
292,181,9,2,20,1987
293,182,1,2,,1987
294,183,1,2,24,1987
295,183,1,1,24,1987
296,183,11,2,24,1987
297,184,1,2,25,1987
298,184,1,1,25,1987
299,185,2,2,,1987
300,185,1,2,,1987
301,186,3,2,,1987
511,276,2,2,38,1987
303,187,2,2,,1987
304,187,1,2,,1987
305,187,9,2,,1987
306,187,3,2,,1987
308,188,1,2,,1987
309,188,1,1,,1987
310,188,2,2,,1987
311,188,9,2,,1987
312,188,5,2,,1987
313,189,1,2,,1987
314,189,2,2,,1987
315,190,1,2,,1987
316,190,2,2,,1987
317,190,5,2,,1987
318,191,3,2,,1987
510,276,1,1,38,1987
320,192,1,2,18,1987
321,192,1,1,18,1987
322,193,1,2,,1987
323,193,2,2,,1987
324,193,9,2,,1987
325,194,1,2,,1987
326,194,2,2,,1987
327,194,5,2,,1987
328,195,1,2,,1987
329,196,1,2,,1987
330,197,1,2,26,1987
331,197,1,1,26,1987
333,197,2,2,26,1987
334,197,9,2,26,1987
335,197,11,2,26,1987
336,198,1,1,4,1987
337,201,1,2,,1987
338,202,1,2,,1987
339,203,1,2,27,1987
340,204,1,2,,1987
341,204,2,2,,1987
342,204,9,2,,1987
343,205,1,2,,1987
344,205,1,1,,1987
345,205,5,2,,1987
346,205,2,2,,1987
347,205,9,2,,1987
348,206,3,2,,1987
350,207,1,2,,1987
351,207,1,1,,1987
352,207,2,2,,1987
353,207,9,2,,1987
354,207,5,2,,1987
355,207,11,2,,1987
356,208,1,2,,1987
357,208,1,1,,1987
358,208,2,2,,1987
359,209,1,2,,1987
360,209,2,2,,1987
361,209,9,2,,1987
362,209,5,2,,1987
363,210,3,2,,1987
509,276,1,2,38,1987
365,211,3,2,,1987
367,212,1,2,28,1987
368,212,1,1,8,1987
369,213,1,2,2,1987
370,213,1,1,2,1987
371,214,3,2,,1987
508,278,1,1,39,1987
373,215,1,2,,1987
374,216,1,2,,1987
375,216,1,1,,1987
376,217,1,2,,1987
377,217,1,1,,1987
378,217,2,2,,1987
379,217,9,2,,1987
380,218,1,2,16,1987
381,218,1,1,16,1987
382,219,1,2,8,1987
383,219,1,1,8,1987
384,219,2,2,8,1987
385,219,9,2,8,1987
386,220,1,2,,1987
387,220,11,2,,1987
388,221,1,2,,1987
389,221,1,1,,1987
390,221,2,2,,1987
391,221,9,2,,1987
392,222,1,2,,1987
393,223,1,2,29,1987
394,224,1,1,23,1987
395,225,1,2,30,0
396,226,1,1,,1987
397,227,1,2,,1987
398,227,1,1,,1987
399,227,2,2,,1987
400,228,1,2,,1987
401,229,1,1,31,1987
402,230,1,2,,1987
403,230,1,1,,1987
404,231,1,2,85,1987
405,231,11,2,85,1987
406,231,3,2,85,1987
408,232,1,2,32,1987
409,232,1,1,,1987
410,233,1,2,,1987
411,233,1,1,,1987
412,234,1,2,,1987
413,234,1,1,,1987
414,235,1,2,,1987
415,235,1,1,,1987
416,236,2,2,,1987
417,236,1,2,,1987
418,236,1,1,,1987
419,236,9,2,,1987
420,237,2,2,,1987
421,237,1,2,,1987
422,237,9,2,,1987
1556,220,3,2,97,1987
507,278,1,2,39,1987
425,237,5,2,,1987
426,238,2,2,,1987
427,239,1,2,33,1987
428,57,1,1,16,1987
429,240,1,1,16,1987
430,241,1,2,,1987
431,241,2,2,,1987
432,242,1,2,34,1987
433,243,1,2,,1987
434,244,1,2,,1987
435,245,9,2,,1987
436,245,1,2,,1987
437,245,1,1,,1987
438,246,2,2,,1987
439,246,9,2,,1987
440,247,1,2,,1986
441,247,2,2,,1987
442,248,1,2,,1987
443,248,1,1,,1987
444,248,2,2,,1987
445,248,9,2,,1987
446,249,1,2,35,1987
447,250,1,2,,1987
448,251,1,2,,1987
449,251,1,1,,1987
450,251,2,2,,1987
451,251,5,2,,1987
1573,789,3,2,,1986
506,275,1,1,,1984
454,251,11,2,,1987
455,252,1,2,,1987
456,252,1,1,,1987
457,253,1,2,,1987
458,253,1,1,,1987
459,253,2,2,,1987
460,253,5,2,,1987
461,254,1,2,,1987
462,254,1,1,,1987
466,199,1,2,,1987
467,199,1,1,,1987
468,93,1,2,,1987
469,93,1,1,,1987
470,93,2,2,,1987
471,93,9,2,,1987
472,258,1,2,,1987
473,258,1,1,,1987
474,258,2,2,,1987
475,258,9,2,,1987
476,259,1,2,,1987
477,259,1,1,,1987
478,260,1,2,36,1987
479,260,1,1,,1987
480,261,1,2,,1987
481,261,1,1,,1987
482,262,2,2,,1987
483,263,1,2,,1987
484,263,9,2,,1987
485,263,2,2,,1987
486,264,1,2,37,1987
487,264,1,1,37,1987
488,265,1,2,,1987
489,265,2,2,,1987
490,265,9,2,,1987
491,266,1,2,,1987
492,267,1,2,,1987
493,267,1,1,,1987
494,268,1,2,,1987
495,268,1,1,,1987
496,269,1,2,,1987
497,269,1,1,,1987
498,270,1,2,15,1987
499,271,1,2,,1987
500,272,1,2,,1987
501,272,1,1,,1987
502,272,2,2,,1987
503,272,9,2,,1987
504,273,1,2,30,1987
505,274,1,2,,1987
523,287,1,1,,1987
524,287,2,2,,1987
525,287,5,2,,1987
526,288,1,2,40,1987
527,288,2,2,40,1987
528,288,5,2,40,1987
529,288,9,2,40,1987
530,289,1,2,,1987
531,290,1,2,,1987
532,291,1,2,41,1987
533,292,1,2,,1987
534,294,1,2,,1987
535,294,1,1,,1987
536,295,1,2,18,1987
537,295,1,1,18,1987
538,296,1,2,30,1987
539,296,2,2,30,1987
540,297,1,2,,1987
541,297,1,1,,1987
542,297,2,2,,1987
543,298,1,2,8,1987
544,298,1,1,8,1987
545,298,2,2,8,1987
546,299,1,2,,1987
547,300,1,2,,1987
548,300,1,1,,1987
549,300,2,2,,1987
550,301,1,2,,1987
551,301,1,1,,1987
552,302,1,2,,1987
553,302,1,1,,1987
554,303,1,2,21,1987
555,303,1,1,21,1987
556,304,1,2,42,1987
557,304,2,2,42,1987
558,305,1,2,,1987
559,305,1,1,,1987
560,306,1,2,,1987
561,306,1,1,,1987
562,307,1,2,36,1987
563,307,1,1,36,1987
564,308,1,2,,1987
566,309,1,2,1,1987
567,309,1,1,1,1987
568,310,1,2,,1987
569,310,1,1,,1987
570,310,2,2,,1987
571,311,1,2,,1987
572,312,1,2,,1987
573,312,1,1,,1987
574,312,2,2,,1987
575,313,1,2,,1987
576,313,2,2,,1987
577,315,1,2,,1987
578,315,1,1,,1987
579,316,2,2,,1987
580,316,5,2,,1987
581,317,1,2,,1987
582,317,2,2,,1987
584,317,5,2,,1987
585,318,1,2,29,1987
586,318,2,2,29,1987
587,318,5,2,29,1987
588,318,9,2,29,1987
589,319,1,2,43,1987
590,319,1,1,43,1987
591,320,1,1,44,1987
1358,670,1,2,,1988
1427,698,1,2,,1988
594,323,1,2,,1987
595,323,1,1,,1987
596,324,1,2,,1987
597,324,1,1,,1987
598,325,14,1,23,1987
599,327,1,2,,1988
600,327,1,1,,1988
601,328,2,2,61,1987
602,329,1,2,,1988
603,329,1,1,,1988
604,329,2,2,,1988
605,330,1,2,,1988
606,330,1,1,,1988
607,330,2,2,,1988
608,330,9,2,,1988
609,331,1,2,45,1988
610,331,1,1,45,1988
611,332,1,2,,1988
612,332,1,1,,1988
613,333,1,2,,1988
614,333,1,1,,1988
615,335,1,2,,1988
616,335,1,1,,1988
617,335,5,2,,1988
618,336,1,2,,1988
619,336,1,1,,1988
620,336,5,2,,1988
621,337,1,2,,1988
622,337,1,1,,1988
623,338,1,2,,1988
624,338,1,1,,1988
625,338,5,2,,1988
626,338,2,2,,1988
627,339,1,2,,1988
628,339,1,1,,1988
629,340,1,2,,1988
630,340,1,1,,1988
631,341,1,2,,1988
632,341,1,1,,1988
633,342,1,2,,1988
634,343,1,2,,1988
635,343,1,1,,1988
636,344,1,2,46,1988
637,344,1,1,46,1988
638,345,1,2,,1988
639,345,1,1,,1988
640,345,1,2,,1988
641,345,1,1,,1988
642,346,1,2,,1988
643,346,1,1,,1988
644,347,1,2,,1988
645,347,1,1,,1988
646,348,1,2,,1988
647,348,1,1,,1988
648,349,1,1,,1988
649,350,1,1,,1988
650,351,1,2,,1988
651,351,1,1,,1988
652,352,1,2,,1988
653,352,1,1,,1988
654,352,2,2,,1988
655,352,9,2,,1988
656,353,1,2,,1988
657,353,1,1,,1988
658,353,2,2,,1988
659,354,1,2,,1988
660,354,1,1,,1988
661,355,1,2,,1988
662,355,1,1,,1988
663,355,2,2,,1988
664,356,1,2,,1988
665,356,1,1,,1988
666,357,1,2,,1988
667,357,1,1,,1988
668,358,1,2,,1988
669,358,1,1,,1988
670,359,1,2,,1988
671,359,1,1,,1988
672,360,1,2,42,1988
673,360,1,1,42,1988
674,360,2,2,42,1988
675,361,1,2,,1988
676,361,1,1,,1988
677,362,1,2,206,1988
678,362,1,1,206,1988
679,362,2,2,206,1988
680,362,9,2,206,1988
681,363,1,2,47,1988
682,363,1,1,47,1988
683,363,15,4,47,1988
684,363,16,4,47,1988
685,364,1,2,,1988
686,364,1,1,,1988
687,365,1,2,,1988
688,365,1,1,,1988
689,366,1,2,,1988
691,367,1,1,,1988
692,367,1,2,,1988
693,368,1,2,47,1988
694,368,1,1,47,1988
695,368,2,2,47,1988
696,369,1,2,,1988
697,369,1,1,,1988
698,370,1,2,,1988
699,370,1,1,,1988
700,371,22,5,,1988
701,372,1,2,,1988
702,372,1,1,,1988
703,373,1,2,,1988
704,373,1,1,,1988
705,374,1,2,48,1988
706,375,1,2,,1988
707,376,1,2,,1988
708,377,1,2,,1988
709,377,3,2,,1988
710,378,1,1,32,1988
711,378,15,1,32,1988
712,378,16,4,32,1988
713,379,16,1,49,1988
714,379,15,1,49,1988
715,380,1,1,11,1988
716,381,1,2,,1988
717,381,1,1,,1988
718,382,1,2,9,1988
719,382,1,1,9,1988
720,383,1,2,,1988
721,383,1,1,,1988
722,383,2,2,,1988
723,383,9,2,,1988
724,384,1,2,,1988
725,384,1,1,,1988
726,385,1,2,,1988
727,385,1,1,,1988
728,386,1,2,1,1988
729,386,1,1,1,1988
730,386,15,4,1,1988
731,387,1,2,,1988
732,387,1,1,,1988
733,387,5,2,,1988
734,387,9,2,,1988
735,388,1,2,,1988
736,388,1,1,,1988
737,388,2,2,38,1988
738,388,9,2,,1988
739,389,1,2,,1988
740,389,1,1,,1988
741,389,15,4,,1988
742,334,1,2,1,1988
743,334,1,1,1,1988
744,390,1,2,,1988
745,390,1,1,,1988
746,391,14,1,23,1988
747,392,1,1,22,1988
748,393,1,1,84,1988
749,394,1,2,,1988
750,395,1,2,,1988
751,395,1,1,,1988
752,396,1,2,,1988
753,396,1,1,,1988
754,397,1,2,,1988
755,397,1,1,,1988
756,398,1,1,16,1988
757,399,1,1,,1988
758,400,1,2,,1988
759,400,1,1,,1988
760,44,5,2,,1988
1355,314,16,4,,1987
762,44,17,1,,1988
763,402,16,4,,1988
764,403,1,2,,1988
765,404,1,2,,1988
766,405,1,2,,1988
767,406,1,2,,1988
768,407,1,2,,1988
769,408,15,1,,1988
770,408,1,1,,1988
771,408,16,1,,1988
772,409,1,2,,1988
773,409,1,1,,1988
774,409,2,2,,1988
775,410,1,1,,1988
776,411,1,2,,1988
777,411,1,1,,1988
778,411,16,1,,1988
779,412,1,1,50,1988
780,412,17,1,50,1988
781,413,1,2,51,1988
782,413,1,1,51,1988
783,414,1,2,52,1988
784,414,1,1,52,1988
785,415,1,2,,1988
786,415,1,1,,1988
787,416,1,1,,1988
788,416,14,1,,1988
789,417,1,2,21,1988
790,417,1,1,21,1988
791,418,1,1,50,1988
1829,946,1,1,112,1989
1828,946,1,2,112,1989
794,420,15,1,54,1988
795,421,15,4,,1988
796,421,16,4,,1988
797,333,15,1,,1988
798,333,16,1,,1988
799,422,16,4,11,1988
800,422,15,4,11,1988
801,423,15,4,55,1988
802,424,15,1,,1988
803,424,16,1,,1988
804,425,15,1,,1988
805,425,2,2,,1988
806,425,1,2,,1988
807,425,16,1,,1988
808,426,16,1,,1988
809,426,17,1,,1988
810,427,1,2,,1988
811,427,1,1,,1988
812,428,1,2,,1988
813,428,1,1,,1988
814,429,1,1,2,1988
815,430,1,2,56,1988
816,430,1,1,56,1988
817,431,1,2,,1988
818,431,1,1,,1988
819,432,1,2,40,1988
820,433,1,2,57,1988
822,433,2,2,57,1988
823,434,1,2,,1988
824,435,1,2,58,1988
825,436,5,2,,1988
826,437,1,2,,1988
827,437,1,1,,1988
2092,806,3,2,,1986
829,438,1,1,,1988
830,439,1,2,24,1988
831,439,1,1,,1988
832,440,1,2,,1988
833,440,1,1,,1988
834,441,1,1,,1988
835,441,15,4,,1988
836,441,16,4,,1988
837,442,1,2,59,1988
838,442,1,1,59,1988
839,443,1,2,,1988
840,443,1,1,,1988
841,443,2,2,,1988
842,443,9,2,,1988
843,443,15,4,,1988
844,443,16,4,,1988
845,444,1,2,,1988
846,444,1,1,,1988
847,444,2,2,,1988
848,445,1,1,23,1988
849,445,14,1,23,1988
850,446,1,2,,1988
851,447,1,2,18,1988
852,447,1,1,18,1988
853,447,15,1,18,1988
854,447,16,1,18,1988
855,448,1,2,,1988
856,448,1,1,,1988
857,448,16,4,,1988
858,449,1,2,,1988
859,449,1,1,,1988
860,450,1,2,,1988
861,450,1,1,,1988
862,451,1,2,,1988
863,451,1,1,,1988
864,451,2,2,,1988
865,452,1,2,61,1988
866,452,1,1,61,1988
867,452,2,2,61,1988
868,452,9,2,61,1988
869,452,15,1,61,1988
870,452,16,1,61,1988
871,453,1,2,62,1988
872,453,15,1,62,1988
873,454,1,2,,1988
874,454,1,1,,1988
875,454,15,1,,1988
876,454,16,1,,1988
877,455,1,2,,1988
878,455,1,1,,1988
879,455,2,2,,1988
880,456,1,2,39,1988
881,457,1,2,,1988
882,457,1,1,,1988
883,458,1,2,,1988
884,459,1,2,,1988
885,460,1,2,,1988
886,461,1,2,60,1988
887,462,1,2,,1988
888,462,1,1,,1988
889,463,1,2,,1988
890,463,1,1,,1988
891,463,2,2,,1988
892,463,17,1,,1988
893,465,1,2,16,1988
894,465,1,1,16,1988
895,465,2,2,16,1988
896,465,9,2,16,1988
897,465,17,1,16,1988
898,466,1,2,64,1988
899,466,1,1,64,1988
900,466,2,2,64,1988
901,467,1,2,,1988
902,467,15,1,,1988
903,468,1,2,8,1988
904,468,1,1,8,1988
905,469,1,1,65,1988
906,469,1,2,65,1988
907,470,1,2,52,1988
908,470,1,1,52,1988
909,470,2,2,52,1988
910,470,9,2,52,1988
911,471,1,2,,1988
912,471,1,1,,1988
913,471,17,1,,1988
914,472,1,2,,1988
915,472,1,1,,1988
916,473,1,1,,1988
917,473,15,1,,1988
918,473,16,1,,1988
919,474,1,2,,1988
920,474,1,1,,1988
921,475,1,2,66,1988
922,475,1,1,66,1988
923,476,1,2,,1988
924,476,1,1,,1988
925,476,2,2,228,1988
926,477,1,2,,1988
927,477,1,1,,1988
928,477,2,2,182,1988
929,477,9,2,,1988
930,477,5,2,,1988
931,478,1,2,44,1988
932,478,1,1,44,1988
933,478,15,1,44,1988
934,479,1,2,,1988
935,480,1,2,60,1988
936,481,1,2,,1988
937,482,1,2,,1988
938,483,1,2,,1988
939,484,1,2,67,1988
940,484,2,2,67,1988
941,484,9,2,67,1988
942,485,15,1,,1988
943,485,16,1,,1988
944,486,1,2,,1988
945,486,2,2,,1988
946,486,9,2,,1988
947,486,16,4,,1988
948,487,1,1,,1988
949,489,1,1,69,1988
950,490,1,1,70,1988
951,491,1,2,11,1988
952,491,1,1,11,1988
953,492,1,2,,1988
954,492,1,1,,1988
955,492,2,2,,1988
956,492,9,2,,1988
957,492,16,4,,1988
958,493,1,2,47,1988
